id,created_at,text
845289583575105536,2017-03-24 15:01:56,"b""RT @RicardoTwumasi: @elonmusk My Tesla Model S is the best car I've ever had https://t.co/OBkDjOPrUo"""
845288100754444288,2017-03-24 14:56:02,"b""RT @Shkottt: @elonmusk my Tesla Roadster is the best car i've ever had"""
845287981652963328,2017-03-24 14:55:34,"b'@TimShelton @FredericLambert @JimPengelly First in line for dual motor as soon as we can make it, which is probably in 6 to 9 months.'"
845287688882184192,2017-03-24 14:54:24,b'@meangene2030 Damn straight we do! Coming with 8.1 next week.'
845287211306139648,2017-03-24 14:52:30,b'First drive of a release candidate version of Model 3 https://t.co/zcs6j1YRa4'
845286730668257280,2017-03-24 14:50:35,b'@FredericLambert It still has one display'
845286473905553408,2017-03-24 14:49:34,"b""RT @danieltadros: @bobbykansara @elonmusk @MrThorman My model S is the best car I've ever had !!"""
845286206539685890,2017-03-24 14:48:30,b'@VoltzCoreAudio Nothing majorly new that a consumer would notice. Lots of new tech in the design and production process though.'
845285846936825856,2017-03-24 14:47:05,"b'@arctechinc The more autonomous a car is, the less dash info you need. How often do you look at the instrument pane\xe2\x80\xa6 https://t.co/Ie6abxs7LD'"
845285398662197248,2017-03-24 14:45:18,b'@asimo3089 How about the video we just took of the first Model 3 release candidate drive?'
845285144436998144,2017-03-24 14:44:17,b'RT @bobbykansara: @MrThorman @elonmusk My Model X is the greatest thing I have ever purchased. Period.'
845285007211950080,2017-03-24 14:43:45,"b'@trabru Yup, machine arrives next month and we start digging the tunnel!'"
845284550926221312,2017-03-24 14:41:56,b'@oakhaller I think so'
845284390397665280,2017-03-24 14:41:17,"b'@FredericLambert @JimPengelly No, we are minimizing configuration complexity to keep the production ramp on schedul\xe2\x80\xa6 https://t.co/REhQOY149t'"
845283880080850945,2017-03-24 14:39:16,b'@Trojan81 Tues/Wed'
845283534948392960,2017-03-24 14:37:53,"b""@jDaz Because I was a dumb idiot and didn't realize at the time that it would cause confusion"""
845283253602828288,2017-03-24 14:36:46,b'@timothymjr Tues/Wed next week'
845282934546350080,2017-03-24 14:35:30,"b'@Skate_a_book Yes. Model S will always be the fastest Tesla until next gen Roadster, which is a few years away.'"
845282733546921985,2017-03-24 14:34:42,"b'@JimPengelly Yes, but not until next year'"
845282590030360578,2017-03-24 14:34:08,b'@AlSaibie Yes. Hardware already on all production S and X cars.'
845282298291339267,2017-03-24 14:32:59,"b'@theKen_Miller Sorta. Model 3 is like a BMW 3 series or Audi A4. Model S is like BMW 5 and 6 series, but much faste\xe2\x80\xa6 https://t.co/m7gxmtjGrZ'"
845281640972660736,2017-03-24 14:30:22,b'@Greg525 How about now?'
845281547368349696,2017-03-24 14:30:00,b'@varunfatehpuria Oh Model Y is coming too in a few years. Kinda have to.'
845281211626864641,2017-03-24 14:28:40,b'@luciojr All Tesla cars built since Oct last year will be capable of self-driving as software improves'
845280846764396544,2017-03-24 14:27:13,b'@swindeez Definitely'
845280754871418880,2017-03-24 14:26:51,"b'Model 3 was going to be called Model E, for obvious dumb humor reasons, but Ford sued to block it, so now it is S3X. Totally different :)'"
845279897383710720,2017-03-24 14:23:26,b'@TimBeiko Yes'
845279423238590464,2017-03-24 14:21:33,"b'Model 3 is just a smaller, more affordable version of Model S w less range &amp; power &amp; fewer features. Model S has more advanced technology.'"
845278449811939328,2017-03-24 14:17:41,"b'Am noticing that many people think Model 3 is the ""next version"" of a Tesla, like iPhone 2 vs 3. This is not true.'"
845277819282219010,2017-03-24 14:15:11,b'@macwalterslives Looking forward to playing the game with my kids!'
845215504738402304,2017-03-24 10:07:34,"b""@aaronpaul_8 I used to be one. You're welcome. Trying my best, at least. Hope it's a bit useful."""
845180973394247680,2017-03-24 07:50:21,"b""@nextspaceflight @inversedotcom Just because I'm building a spaceship to get back to my home planet doesn't mean I'm an alien"""
845179612644618240,2017-03-24 07:44:56,b'@lennart375 @inversedotcom The number of extinct single planet civilizations probably exceeds live civs by at least\xe2\x80\xa6 https://t.co/7rZDEpNOks'
845177494575636480,2017-03-24 07:36:32,"b'@phirate Probably. Either that, simulation, great filter or they are very, very subtle.'"
845175921317335041,2017-03-24 07:30:16,"b""@Nites I hope that didn't work"""
